ID,RAdeg,DECdeg,Hmag,PhotFlag,Class_star,AGNflag,zphot,zspec,q_zspec,r_zspec,zbest,zphot_l68,zphot_u68,zphot_l95,zphot_u95,zAGN,M_neb_med,s_neb_med,M_med,s_med,M_14a_cons,M_11a_tau,M_6a_tau^NEB,M_13a_tau,M_12a_tau,M_6a_tau,M_2a_tau,M_15a,M_10c,M_14a_lin,M_14a_deltau,M_14a_tau,M_14a_inctau,M_14a,M_neb_med_lin,s_neb_med_lin,M_med_lin,s_med_lin
10251,215.101481,52.9792377,25.6902,0,0.36,0,1.687,-99.0,-99,-99,1.687,1.22,2.23,0.93,2.56,-99.0,8.71,0.158624,8.73232,0.090357,8.5041,8.71002,8.81611,8.73,8.6857,8.73464,8.87,8.62475,8.58,8.40184,8.45235,8.52987,8.47489,8.50425,8.68755,0.1502,8.72054,0.10131
10254,214.8511406,52.8020341,25.1924,0,0.18,0,2.28,-99.0,-99,-99,2.28,1.45,2.55,1.14,2.81,-99.0,9.0513,0.125079,9.12931,0.042883,8.9265,9.03685,9.17609,9.18,9.1238,9.13481,9.171,9.0724,9.08,8.83214,8.92643,8.96977,8.89768,8.96977,9.06898,0.12279,9.14804,0.04276
10262,214.7556959,52.733407,23.4243,0,0.01,0,1.865,-99.0,-99,-99,1.865,1.43,1.93,1.27,2.07,-99.0,10.4833,0.247513,10.6802,0.180582,10.2672,10.6994,10.6922,10.65,10.6699,10.6906,11.068,10.6529,10.78,10.1489,-99.0,-99.0,10.2596,-99.0,10.6922,0.22787,10.6803,0.2926
10263,214.846548,52.7989261,26.2159,0,0.18,0,1.641,-99.0,-99,-99,1.641,1.24,1.78,0.94,2.05,-99.0,8.2232,0.027641,8.32637,0.210124,8.2232,8.25653,8.20167,8.44,8.1632,8.36642,8.693,8.21275,8.23,8.11642,8.1704,8.2481,8.19016,8.2233,8.22997,0.02788,8.36642,0.27616
10266,215.1974271,53.0467807,25.5143,0,0.08,0,0.83,-99.0,-99,-99,0.83,0.95,1.84,0.22,2.21,-99.0,7.6114,0.212931,7.7423,0.416524,7.8243,7.60698,7.39846,7.77,7.7146,7.58782,8.617,7.71879,6.94,7.72746,7.73949,7.82939,7.79573,7.72746,7.6616,0.19956,7.74318,0.41652
10275,214.72384,52.7105941,24.0196,0,0.0,0,2.325,-99.0,-99,-99,2.325,1.97,2.64,1.43,2.84,-99.0,9.9732,0.285347,10.1794,0.131884,9.7198,10.2265,10.2006,10.12,10.1316,10.1928,10.442,10.1749,9.83,9.58839,9.65101,9.75338,9.67477,9.71994,10.0432,0.25297,10.1749,0.17808
10276,214.8142822,52.7755464,24.0202,0,0.0,0,1.857,-99.0,-99,-99,1.857,1.64,2.01,1.46,2.18,-99.0,9.9751,0.078662,10.0737,0.161495,9.9153,9.99709,10.0726,10.14,10.0073,10.0785,10.388,9.98706,9.87,9.79194,10.0788,10.0801,9.89978,10.0801,10.0011,0.07783,10.0744,0.21903
10278,214.8638089,52.8111765,25.7462,0,0.07,0,0.82,-99.0,-99,-99,0.82,0.7,2.53,0.24,3.04,-99.0,7.5468,0.172504,7.60295,0.338568,7.7191,7.56305,7.37457,7.61,7.6006,7.55606,8.329,7.53405,7.44,7.60707,7.62705,7.73145,7.68181,7.71916,7.58011,0.16726,7.58387,0.84679
10280,215.1694052,53.0273795,26.4615,0,0.36,0,1.64,-99.0,-99,-99,1.64,1.16,2.21,0.81,2.56,-99.0,8.1,0.07962,8.2474,0.067191,8.0259,8.18505,8.10003,8.25,8.2448,8.16167,8.348,8.22305,8.14,7.93088,7.96875,8.03186,7.9975,8.02604,8.10643,0.07901,8.24741,0.0714
10283,215.1046867,52.9818719,26.1169,0,0.35,0,1.665,-99.0,-99,-99,1.665,1.35,2.34,0.96,2.74,-99.0,8.7757,0.264905,8.74362,0.107038,8.4178,8.93501,8.77568,8.96,8.7252,8.729,8.779,8.69128,7.4,8.31624,8.38147,8.44744,8.38386,8.41786,8.69481,0.23238,8.73735,0.13121
10285,215.1615234,53.0218919,25.8756,0,0.11,0,1.619,-99.0,-99,-99,1.619,1.2,2.26,0.73,2.59,-99.0,8.7501,0.175487,8.87438,0.085198,8.593,8.90735,8.88525,8.95,8.8178,8.78675,8.962,8.80128,8.7,8.49482,8.59236,8.63449,8.56891,8.63449,8.778,0.16624,8.88316,0.08541
10289,215.1906967,53.0423845,26.5966,0,0.35,0,2.585,-99.0,-99,-99,2.585,0.9,2.85,0.27,3.13,-99.0,8.2331,0.011959,8.10443,0.427457,8.2212,8.24509,8.23223,8.27,7.8552,8.18865,8.939,7.93886,7.68,8.1023,8.12163,8.22803,8.18013,8.2213,8.23223,0.01196,8.18865,0.89917
